Date,Region,Product Category,Product,Sales
2025-03-06,North,Carbonated Drink,Sparkle Cola,1205
2025-03-06,North,Carbonated Drink,Bubbly Lemon,1175
2025-03-06,North,Diet Drink,Light Tonic,990
2025-03-06,East,Functional Beverage,Vita Boost,1110
2025-03-06,East,Functional Beverage,Energy Max,1220
2025-03-06,East,Fruit Juice,Orange Fresh,1355
2025-03-06,South,Fruit Juice,Tropical Mix,1390
2025-03-06,South,Fruit Juice,Apple Garden,1335
2025-03-06,South,Milkshake,Chocolate Dream,960
2025-03-06,South,Milkshake,Vanilla Bliss,985
2025-03-06,North,Plant-Based Drink,Oat Delight,1035
2025-03-06,North,Plant-Based Drink,Almond Pure,1060
2025-03-06,East,Carbonated Drink,Sparkle Cola,1200
2025-03-06,East,Diet Drink,Zero Zest,1005
2025-03-06,South,Functional Beverage,Vita Boost,1125
2025-03-06,South,Functional Beverage,Energy Max,1130
2025-03-06,North,Fruit Juice,Apple Garden,1300
2025-03-06,North,Fruit Juice,Tropical Mix,1280
2025-03-06,East,Milkshake,Vanilla Bliss,970
2025-03-06,East,Plant-Based Drink,Oat Delight,1025
