Date,Region,Product Category,Product,Sales
2025-10-15,East,Carbonated Drink,Carbonated Drink A,1360
2025-10-15,South,Functional Beverage,Functional Beverage A,1457
2025-10-15,South,Diet Drink,Diet Drink B,1362
2025-10-15,East,Milkshake,Milkshake A,920
2025-10-15,South,Plant-Based Drink,Plant-Based Drink D,1261
2025-10-15,North,Fruit Juice,Fruit Juice D,1065
2025-10-15,South,Fruit Juice,Fruit Juice C,1168
2025-10-15,South,Carbonated Drink,Carbonated Drink D,1155
2025-10-15,East,Functional Beverage,Functional Beverage D,1436
2025-10-15,South,Functional Beverage,Functional Beverage C,1201
2025-10-15,North,Functional Beverage,Functional Beverage B,1201
2025-10-15,South,Carbonated Drink,Carbonated Drink C,1239
2025-10-15,North,Plant-Based Drink,Plant-Based Drink D,1054
2025-10-15,East,Plant-Based Drink,Plant-Based Drink B,1480
2025-10-15,East,Fruit Juice,Fruit Juice D,1215
2025-10-15,East,Plant-Based Drink,Plant-Based Drink B,1250
2025-10-15,East,Diet Drink,Diet Drink D,969
2025-10-15,North,Plant-Based Drink,Plant-Based Drink B,935
2025-10-15,East,Plant-Based Drink,Plant-Based Drink A,940
2025-10-15,East,Functional Beverage,Functional Beverage A,1297
2025-10-15,North,Diet Drink,Diet Drink B,1436
2025-10-15,East,Functional Beverage,Functional Beverage A,1252
2025-10-15,North,Carbonated Drink,Carbonated Drink B,993
2025-10-15,South,Diet Drink,Diet Drink D,1173
2025-10-15,East,Carbonated Drink,Carbonated Drink D,1453
2025-10-15,South,Fruit Juice,Fruit Juice C,1457
2025-10-15,North,Functional Beverage,Functional Beverage B,1113
2025-10-15,South,Carbonated Drink,Carbonated Drink B,1014
2025-10-15,South,Functional Beverage,Functional Beverage B,1323
2025-10-15,North,Fruit Juice,Fruit Juice A,1292
2025-10-15,North,Milkshake,Milkshake B,956
2025-10-15,South,Plant-Based Drink,Plant-Based Drink B,1425
2025-10-15,South,Functional Beverage,Functional Beverage D,1121
2025-10-15,North,Functional Beverage,Functional Beverage D,936
2025-10-15,North,Functional Beverage,Functional Beverage C,1131
2025-10-15,South,Functional Beverage,Functional Beverage B,1276
2025-10-15,East,Carbonated Drink,Carbonated Drink C,1220
2025-10-15,East,Carbonated Drink,Carbonated Drink B,1252
2025-10-15,East,Milkshake,Milkshake A,1445
2025-10-15,North,Fruit Juice,Fruit Juice C,1157
2025-10-15,North,Diet Drink,Diet Drink D,1175
2025-10-15,North,Milkshake,Milkshake A,975
2025-10-15,East,Milkshake,Milkshake A,1334
2025-10-15,North,Milkshake,Milkshake D,1267
2025-10-15,North,Diet Drink,Diet Drink C,2549
2025-10-15,South,Functional Beverage,Functional Beverage A,1416
2025-10-15,North,Carbonated Drink,Carbonated Drink A,1012
2025-10-15,South,Plant-Based Drink,Plant-Based Drink B,1022
2025-10-15,North,Diet Drink,Diet Drink C,1358
2025-10-15,East,Functional Beverage,Functional Beverage A,1483
