Date,Region,Product,Product Category,Temperature,DayOfWeek,Sales,source_file,is_anomaly,anomaly_score
2025-02-01,North,Coca-Cola,AA,10.7,Saturday,1172,sales_2025-02-01.csv,0,-0.48796074648543564
2025-02-01,North,Fanta,AA,10.7,Saturday,1122,sales_2025-02-01.csv,0,-0.4884995396072994
2025-02-01,North,Sprite,AA,10.7,Saturday,997,sales_2025-02-01.csv,0,-0.4938819558981914
2025-02-01,North,Pepsi,AA,10.7,Saturday,1061,sales_2025-02-01.csv,0,-0.48916884333097305
2025-02-01,North,Golden Milk,AB,10.7,Saturday,1165,sales_2025-02-01.csv,0,-0.5096814246610581
2025-02-01,North,Almond Drink,AB,10.7,Saturday,879,sales_2025-02-01.csv,0,-0.5061978290259358
2025-02-01,North,Oat Latte,AB,10.7,Saturday,1019,sales_2025-02-01.csv,0,-0.5061087643843925
2025-02-01,North,Strawberry Shake,AC,10.7,Saturday,1354,sales_2025-02-01.csv,0,-0.5142755709977671
2025-02-01,North,Chocolate Shake,AC,10.7,Saturday,1204,sales_2025-02-01.csv,0,-0.5063875438405583
2025-02-01,North,Vanilla Shake,AC,10.7,Saturday,1217,sales_2025-02-01.csv,0,-0.5063875438405583
2025-02-01,North,Orange Juice,AD,10.7,Saturday,1111,sales_2025-02-01.csv,0,-0.5109504705438667
2025-02-01,North,Apple Juice,AD,10.7,Saturday,1222,sales_2025-02-01.csv,0,-0.5097505116501831
2025-02-01,North,Mango Juice,AD,10.7,Saturday,1073,sales_2025-02-01.csv,0,-0.5112962896149497
2025-02-01,North,Pepsi Max,AE,10.7,Saturday,1185,sales_2025-02-01.csv,0,-0.48953818649971564
2025-02-01,North,Cola Zero,AE,10.7,Saturday,1186,sales_2025-02-01.csv,0,-0.48953818649971564
2025-02-01,North,Sprite Zero,AE,10.7,Saturday,677,sales_2025-02-01.csv,0,-0.5036849461214546
2025-02-01,North,Kombucha,AF,10.7,Saturday,1121,sales_2025-02-01.csv,0,-0.5081923696718077
2025-02-01,North,Coconut Water,AF,10.7,Saturday,1038,sales_2025-02-01.csv,0,-0.5080102119668154
2025-02-01,North,Isotonic Drink,AF,10.7,Saturday,995,sales_2025-02-01.csv,0,-0.5118412031052882
2025-02-01,South,Coca-Cola,AA,25.2,Saturday,1536,sales_2025-02-01.csv,0,-0.5142333431136588
2025-02-01,South,Fanta,AA,25.2,Saturday,1366,sales_2025-02-01.csv,0,-0.5052647344427004
2025-02-01,South,Sprite,AA,25.2,Saturday,1514,sales_2025-02-01.csv,0,-0.5126577432439926
2025-02-01,South,Pepsi,AA,25.2,Saturday,1344,sales_2025-02-01.csv,0,-0.5045406480173747
2025-02-01,South,Golden Milk,AB,25.2,Saturday,839,sales_2025-02-01.csv,0,-0.5104821540182024
