Date,Region,Product,Product Category,Temperature,DayOfWeek,Sales,source_file,Product Category Mapped,is_anomaly
2025-02-02,North,Coca-Cola,AA,11.7,Sunday,1218,sales_2025-02-02.csv,Carbonated Drink,0
2025-02-02,North,Fanta,AA,11.7,Sunday,1184,sales_2025-02-02.csv,Carbonated Drink,0
2025-02-02,North,Sprite,AA,11.7,Sunday,1069,sales_2025-02-02.csv,Carbonated Drink,0
2025-02-02,North,Pepsi,AA,11.7,Sunday,1261,sales_2025-02-02.csv,Carbonated Drink,0
2025-02-02,North,Golden Milk,AB,11.7,Sunday,1076,sales_2025-02-02.csv,Plant-Based Drink,0
2025-02-02,North,Almond Drink,AB,11.7,Sunday,1022,sales_2025-02-02.csv,Plant-Based Drink,0
2025-02-02,North,Oat Latte,AB,11.7,Sunday,1003,sales_2025-02-02.csv,Plant-Based Drink,0
2025-02-02,North,Strawberry Shake,AC,11.7,Sunday,1131,sales_2025-02-02.csv,Milkshake,0
2025-02-02,North,Chocolate Shake,AC,11.7,Sunday,1229,sales_2025-02-02.csv,Milkshake,0
2025-02-02,North,Vanilla Shake,AC,11.7,Sunday,1248,sales_2025-02-02.csv,Milkshake,0
2025-02-02,North,Orange Juice,AD,11.7,Sunday,1100,sales_2025-02-02.csv,Fruit Juice,0
2025-02-02,North,Apple Juice,AD,11.7,Sunday,1239,sales_2025-02-02.csv,Fruit Juice,0
2025-02-02,North,Mango Juice,AD,11.7,Sunday,1081,sales_2025-02-02.csv,Fruit Juice,0
2025-02-02,North,Pepsi Max,AE,11.7,Sunday,1047,sales_2025-02-02.csv,Diet Drink,0
2025-02-02,North,Cola Zero,AE,11.7,Sunday,1269,sales_2025-02-02.csv,Diet Drink,0
2025-02-02,North,Sprite Zero,AE,11.7,Sunday,1168,sales_2025-02-02.csv,Diet Drink,0
2025-02-02,North,Kombucha,AF,11.7,Sunday,984,sales_2025-02-02.csv,Functional Beverage,0
2025-02-02,North,Coconut Water,AF,11.7,Sunday,934,sales_2025-02-02.csv,Functional Beverage,0
2025-02-02,North,Isotonic Drink,AF,11.7,Sunday,880,sales_2025-02-02.csv,Functional Beverage,0
2025-02-02,South,Coca-Cola,AA,26.8,Sunday,1480,sales_2025-02-02.csv,Carbonated Drink,0
2025-02-02,South,Fanta,AA,26.8,Sunday,729,sales_2025-02-02.csv,Carbonated Drink,0
2025-02-02,South,Sprite,AA,26.8,Sunday,1585,sales_2025-02-02.csv,Carbonated Drink,0
